experiment_id,measurement_type,x,value,timestamp_x,run_time,config_id,experiment_tags,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp_y,audit_every_x_iterations
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,4499.0,0.5674171160674328,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,4749.0,0.5641866879500956,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,4999.0,0.5611732975899374,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,5249.0,0.5600012000154695,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,5499.0,0.5588631031768576,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,5749.0,0.5578956141906255,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,5999.0,0.5569865499215046,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,6249.0,0.5564605914368075,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,6499.0,0.5562216902345446,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,6749.0,0.5558181204802177,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
a0edb1a2-34e0-4b71-b7c5-5f12ef892912,SPREAD,6999.0,0.555415264585281,1672215508,40,4e44d620-ab99-47a8-9ee9-28f7899d7876,[],SIMILARITY,100,10000,0.2,40,NULL,0.2,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215501400,250.0
