config_id,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
a93c6441-2cdf-481a-babd-492b939559e3,SIMILARITY,100,10000,0.2,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
00d8eb77-c7dd-4f3c-b445-e66e8bee1323,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.01,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
9672d282-4a8f-46e4-a7c8-7091c94037bb,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.05,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
e542fd09-f39c-42e1-9f91-f754ee4272ce,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.1,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
6d29498a-7d33-4c20-b769-0d2dacc6e01d,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
a6214007-26f4-449e-ab90-05adbfcb22db,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
29223e6f-0eab-4c10-bc89-325b924f5a13,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
459b98de-bf36-4d16-85ea-37c5011090fb,SIMILARITY,100,10000,0.2,40,NULL,NULL,0.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
f31e5ef3-a160-48c7-a372-3f68cfe66fda,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
949da0fb-7a4f-4c96-9949-245728de0503,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
c2d0f551-fda4-4832-9f13-53eb7848e454,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
b787b6fd-af68-409b-9f8e-5bfb006090e7,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
4f341687-7585-4f72-ab85-cbdef77be91f,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1672215643252,250.0
