config_id,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
1bf16062-07d4-4ae8-ab69-0d09668b44d1,SIMILARITY,100,10000,0.6,0.2,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
fb897aa1-333d-4793-9886-7ca866769fb2,SIMILARITY,100,10000,0.6,0.15,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
9d3c1cd8-1771-4fe8-b8c9-ed210f57fbb6,SIMILARITY,100,10000,0.6,0.1,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
9cd2bd37-d17a-4a59-aecb-20dbe1de13f9,SIMILARITY,100,10000,0.6,0.05,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
76c95b70-0cb6-4e42-bd5e-f7b616ba69b5,REPULSIVE,100,10000,0.6,0.2,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
b420cd3a-8faf-4edf-a11c-9d9afb06c021,REPULSIVE,100,10000,0.6,0.15,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
ed11fb0e-9919-4e09-8f6a-40261d6503b3,REPULSIVE,100,10000,0.6,0.1,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
c9e0d1a5-07f2-44b6-8b2e-46cf4ee49763,REPULSIVE,100,10000,0.6,0.05,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674998398729,250.0
