experiment_id,measurement_type,x,value,timestamp_x,run_time,config_id,experiment_tags,simulation_type,num_of_agents,num_iterations,mio,mio_dist_type,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp_y,audit_every_x_iterations
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,1.0,0.975992651030862,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,249.0,0.9529806135681652,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,499.0,0.9156388481269412,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,749.0,0.8621821539639406,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,999.0,0.8065537901040291,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,1249.0,0.757621717710262,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,1499.0,0.7159560945479948,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,1749.0,0.6851440326970943,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,1999.0,0.6626773997906803,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,2249.0,0.6473526146478037,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,2499.0,0.6356835201554822,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,2749.0,0.6270789184008674,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,2999.0,0.623364660472497,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,3249.0,0.6196970522529027,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,3499.0,0.6178145297174948,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
43825673-afa7-4481-99da-6dcb6688303a,SPREAD,3749.0,0.6169706244706877,1674926180,44,0a59b2de-4f5a-4e29-b949-01c74730222c,[],SIMILARITY,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
