,Unnamed: 0,year,newspaper,count,newspaper_normalized_name
123,123,2010,"מעריב,",2,מעריב
124,124,2011,הארץ,15,הארץ
125,125,2011,זמן תל אביב,1,זמן תל אביב
126,126,2011,יתד השבוע,6,יתד
127,127,2011,הארץ מגזין מרקר,2,הארץ
128,128,2011,מעריב עסקים,2,מעריב
129,129,2011,יתד נאמן,4,יתד
130,130,2011,"מעריב,",13,מעריב
131,131,2011,מקור ראשון הצופה,2,הצופה
132,132,2011,מקור ראשון,1,מקור ראשון
133,133,2011,"ידיעות אחרונות,",7,ידיעות
134,134,2011,ידיעות אחרונות המוסף לשבת,1,ידיעות
135,135,2011,מעריב עסקים מגזין שישי,1,מעריב
136,136,2011,ידיעות אחרונות ממון,4,ידיעות
137,137,2011,מעריב המגזין,1,מעריב
138,138,2012,יתד השבוע אקטואלי,2,יתד
139,139,2012,הארץ,6,הארץ
140,140,2012,זמן תל אביב,1,זמן תל אביב
141,141,2012,הארץ מגזין מרקר,1,הארץ
142,142,2012,מעריב עסקים,1,מעריב
143,143,2012,יתד נאמן,2,יתד
144,144,2012,ידיעות תל-אביב,1,ידיעות
145,145,2012,"מעריב,",5,מעריב
146,146,2012,מקור ראשון הצופה,1,הצופה
147,147,2012,"ידיעות אחרונות,",2,ידיעות
148,148,2012,מעריב עסקים מגזין שישי,1,מעריב
149,149,2012,ידיעות אחרונות 7 ימים,1,ידיעות
150,150,2012,ידיעות אחרונות ממון,3,ידיעות
151,151,2012,מעריב המגזין,1,מעריב
152,152,2012,יתד השבוע מגזין,1,יתד
153,153,2013,ידיעות אחרונות המוסף לשבת,1,ידיעות
154,154,2013,מקור ראשון יומן,1,מקור ראשון
155,155,2013,"ידיעות אחרונות,",8,ידיעות
156,156,2013,הארץ,2,הארץ
157,157,2013,יתד השבוע,1,יתד
158,158,2013,ידיעות אחרונות ממון,1,ידיעות
159,159,2013,סופהשבוע,1,מעריב
160,160,2013,"מעריב, גלובס על הבוקר",1,מעריב
161,161,2013,הארץ גלריה,1,הארץ
162,162,2013,"מעריב,",15,מעריב
163,163,2013,מקור ראשון הצופה,2,הצופה
164,164,2014,מעריב השבוע המגזין,1,מעריב
165,165,2014,הארץ שישי,1,הארץ
166,166,2014,הארץ,5,הארץ
167,167,2014,"הארץ כנס תשתיות תחבורה ונדל""ן",2,הארץ
168,168,2014,יתד נאמן,1,יתד
169,169,2014,מעריב השבוע,4,מעריב
170,170,2014,סופהשבוע,1,מעריב
171,171,2014,"מעריב,",1,מעריב
172,172,2014,"מעריב, 100 גוונים של ירוק",1,מעריב
173,173,2014,מקור ראשון,2,מקור ראשון
174,174,2014,מעריב סופהשבוע,1,מעריב
175,175,2014,ידיעות אחרונות ממון,5,ידיעות
176,176,2014,"מעריב, גלובס על הבוקר",3,מעריב
177,177,2014,מעריב סופהשנה,1,מעריב
178,178,2015,מעריב השבוע המגזין,4,מעריב
179,179,2015,מקור ראשון יומן,2,מקור ראשון
180,180,2015,הארץ שישי,1,הארץ
181,181,2015,מקור ראשון צדק,1,מקור ראשון
182,182,2015,הארץ,5,הארץ
183,183,2015,הארץ מגזין מרקר,2,הארץ
184,184,2015,הארץ investment,1,הארץ
185,185,2015,מעריב השבוע,24,מעריב
186,186,2015,הארץ גלריה,1,הארץ
187,187,2015,ידיעות אחרונות 24 שעות,1,ידיעות
