,Unnamed: 0,newspaper,year,total_articles,public_transport_articles,public_transport_percentage
124,124,Makor,1997,0,0,
125,125,Makor,1998,0,0,
126,126,Makor,1999,0,0,
127,127,Makor,2000,1,0,0.0
128,128,Makor,2001,39,0,0.0
129,129,Makor,2002,0,0,
130,130,Makor,2003,0,0,
131,131,Makor,2004,0,0,
132,132,Makor,2005,4,0,0.0
133,133,Makor,2006,5,0,0.0
134,134,Makor,2007,1830,0,0.0
135,135,Makor,2008,2682,2,0.0007457121551081282
136,136,Makor,2009,3115,0,0.0
137,137,Makor,2010,3022,0,0.0
138,138,Makor,2011,3325,3,0.0009022556390977444
139,139,Makor,2012,2782,1,0.0003594536304816679
140,140,Makor,2013,1745,3,0.0017191977077363897
141,141,Makor,2014,1270,2,0.0015748031496062992
142,142,Makor,2015,1382,4,0.002894356005788712
143,143,Makor,2016,1554,1,0.0006435006435006435
144,144,Makor,2017,1824,4,0.0021929824561403508
145,145,Makor,2018,1803,5,0.0027731558513588465
146,146,Makor,2019,1677,8,0.004770423375074538
147,147,Makor,2020,1590,1,0.0006289308176100629
148,148,Makor,2021,1464,2,0.001366120218579235
149,149,Makor,2022,580,2,0.0034482758620689655
