experiment_id,measurement_type,x,value,timestamp_x,run_time,config_id,experiment_tags,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp_y,audit_every_x_iterations
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1.0,0.9804756331018624,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,249.0,0.9962632993018298,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,499.0,0.9996924264056926,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,749.0,0.9994081271521988,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,999.0,0.9997396113436274,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1249.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1499.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1749.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,1999.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2249.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2499.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2749.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,2999.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3249.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3499.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3749.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,3999.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4249.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4499.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4749.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,4999.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5249.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5499.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
4eb197a2-86d5-4fa1-9391-857bd77209ae,SPREAD,5749.0,0.9998,1675516968,51,293991d4-8346-4344-9f35-fb586dc23797,[],REPULSIVE,100,10000,0.05,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1675516948800,250.0
