config_id,simulation_type,num_of_agents,num_iterations,mio,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
0cf20414-3da7-4096-bdd5-7ff481033d5a,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
5ab402de-91f3-486e-8f45-1089912cc566,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
2587df5f-9ff2-47af-abe3-86faed445b8b,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
20741bc4-a76c-4b6c-8d63-5d452c33e0df,SIMILARITY,100,10000,0.2,40,NULL,NULL,1.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
a45df060-74e6-4af5-b894-2845106aca7d,SIMILARITY,100,10000,0.2,40,NULL,NULL,2.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
ab0f15be-951d-4940-beab-87dac42b4ef7,SIMILARITY,100,10000,0.2,40,NULL,NULL,2.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
13bb38dd-c07a-492e-8dbd-c1b685337341,SIMILARITY,100,10000,0.2,40,NULL,NULL,2.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
4f8e6f9e-97ae-4f88-b50f-8419b8cee0cf,REPULSIVE,100,10000,0.2,40,NULL,NULL,0.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
d7672775-3124-40e8-8aaa-cc2515d5f6da,REPULSIVE,100,10000,0.2,40,NULL,NULL,1.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
ab75e345-aeba-45b7-a45a-b3e23ebc3003,REPULSIVE,100,10000,0.2,40,NULL,NULL,1.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
421e772c-7a16-4c80-990a-55c4556a1f0d,REPULSIVE,100,10000,0.2,40,NULL,NULL,1.6,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
b1c0a52d-fff2-46ff-88db-9fd42061e4a5,REPULSIVE,100,10000,0.2,40,NULL,NULL,1.8,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
30d4d394-4721-4fd1-9374-f2e06f7989ee,REPULSIVE,100,10000,0.2,40,NULL,NULL,2.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
83745520-a857-47dd-8ea0-f129ddbe8674,REPULSIVE,100,10000,0.2,40,NULL,NULL,2.2,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
733b28fb-6926-4fa1-a1ba-53d055fad6aa,REPULSIVE,100,10000,0.2,40,NULL,NULL,2.4,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1671198927393,250.0
