experiment_id,measurement_type,x,value
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,1.0,0.9802323387228504
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,249.0,0.9597817111994716
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,499.0,0.9207643139957528
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,749.0,0.8758711033853815
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,999.0,0.8201804338402177
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,1249.0,0.761711423542432
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,1499.0,0.7123463839729048
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,1749.0,0.6817993984633126
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,1999.0,0.6544196839695864
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,2249.0,0.6376042103473513
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,2499.0,0.6270576957022846
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,2749.0,0.6216308261024592
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,2999.0,0.6180234578952429
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,3249.0,0.6148406899808949
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,3499.0,0.6122563468940359
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,3749.0,0.6107355770301929
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,3999.0,0.6095955144082751
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,4249.0,0.6089229089621744
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,4499.0,0.6083886052517861
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,4749.0,0.6081013773414832
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,4999.0,0.6079302883698388
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,5249.0,0.6078481693773692
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,5499.0,0.6078013381981424
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,5749.0,0.6077888957395089
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,5999.0,0.6077355673007279
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,6249.0,0.6077200600523884
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,6499.0,0.6077097157462008
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,6749.0,0.6076952866180813
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,6999.0,0.6076536435015422
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,7249.0,0.6076296333673655
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,7499.0,0.607625051778034
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,7749.0,0.6076181539993496
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,7999.0,0.6076179200165235
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,8249.0,0.6076162467021533
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,8499.0,0.6076161393233421
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,8749.0,0.6075781710468862
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,8999.0,0.6075763491217206
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,9249.0,0.6075404155347708
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,9499.0,0.6075333521729631
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,9749.0,0.6075000248699304
07083568-84f4-4db7-9b87-c1cacb86c032,SPREAD,9999.0,0.6074994999695835
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,1.0,0.0831702890050078
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,249.0,0.0778990020639672
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,499.0,0.0729182086779586
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,749.0,0.0686709858291324
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,999.0,0.0652619606907046
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,1249.0,0.062848029295015
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,1499.0,0.0613207715489508
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,1749.0,0.0605530429096518
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,1999.0,0.0601550135482589
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,2249.0,0.0599776669753933
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,2499.0,0.0598942641694147
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,2749.0,0.059837743652632
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,2999.0,0.0597827072301013
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,3249.0,0.0596920536224026
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,3499.0,0.0596330809807729
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,3749.0,0.0596195141940057
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,3999.0,0.0596158313254568
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,4249.0,0.0596151729676028
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,4499.0,0.0596148140997174
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,4749.0,0.0596147473237356
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,4999.0,0.0596146662103535
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,5249.0,0.0596145757247018
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,5499.0,0.0596145543321791
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,5749.0,0.0596145162377235
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,5999.0,0.0596144996714949
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,6249.0,0.0596144906537813
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,6499.0,0.0596144883178077
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,6749.0,0.0596144875080491
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,6999.0,0.0596144837666045
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,7249.0,0.0596144668651762
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,7499.0,0.0596144633602561
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,7749.0,0.0596144617564557
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,7999.0,0.0596144616596184
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,8249.0,0.0596144612260908
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,8499.0,0.0596144604496987
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,8749.0,0.0596144588516902
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,8999.0,0.059614458253262
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,9249.0,0.0596144410050119
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,9499.0,0.0596144383535606
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,9749.0,0.0596144373635254
07083568-84f4-4db7-9b87-c1cacb86c032,DISPERSION,9999.0,0.0596144335782946
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,1.0,1.0
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,249.0,0.9975
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,499.0,0.9925
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,749.0,0.95
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,999.0,0.8925000000000001
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,1249.0,0.7875
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,1499.0,0.625
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,1749.0,0.4925
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,1999.0,0.4025
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,2249.0,0.3525
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,2499.0,0.335
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,2749.0,0.3225
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,2999.0,0.305
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,3249.0,0.3025
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,3499.0,0.2975
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,3749.0,0.29
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,3999.0,0.285
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,4249.0,0.285
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,4499.0,0.285
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,4749.0,0.2825
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,4999.0,0.2825
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,5249.0,0.2799999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,5499.0,0.2799999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,5749.0,0.2799999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,5999.0,0.2799999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,6249.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,6499.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,6749.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,6999.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,7249.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,7499.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,7749.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,7999.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,8249.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,8499.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,8749.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,8999.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,9249.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,9499.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,9749.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,COVERED_BINS,9999.0,0.2774999999999999
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,1.0,0.026774267421171
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,249.0,0.0260398437076685
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,499.0,0.0231613955437401
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,749.0,0.0194982065881401
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,999.0,0.0148696568302881
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,1249.0,0.0104158093842204
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,1499.0,0.0066875988838293
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,1749.0,0.0045340136089164
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,1999.0,0.0028148940265292
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,2249.0,0.0016636335395433
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,2499.0,0.0012170360578546
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,2749.0,0.0008557472842722
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,2999.0,0.000682249140152
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,3249.0,0.0005269720332437
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,3499.0,0.0003481617791689
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,3749.0,0.0002564523544587
07083568-84f4-4db7-9b87-c1cacb86c032,BINS_VARIANCE,3999.0,0.0001591936889389
